,user,date,content,user_location
0,"{'username': 'LeeKurtiss', 'id': 1295859690224590848, 'displayname': 'KLee', 'description': '🐭🐭🐭🐭🐭🐭🐭🐭\nStaunch advocate for bodily integrity.\nClassical Centrist.\nI block cultists and stupid trolls.', 'rawDescription': '🐭🐭🐭🐭🐭🐭🐭🐭\nStaunch advocate for bodily integrity.\nClassical Centrist.\nI block cultists and stupid trolls.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 8, 18, 23, 7, 34, tzinfo=datetime.timezone.utc), 'followersCount': 541, 'friendsCount': 797, 'statusesCount': 51450, 'favouritesCount': 23689, 'listedCount': 2, 'mediaCount': 4679, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1458502368044019713/jMTqlORd_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1295859690224590848/1638826466', 'label': None}",2022-08-07 23:42:56+00:00,"@MartinKulldorff In addition to improving its COVID response, Mayotte needs to dramatically increase its tourism PR.
I've never even heard of the country!",
1,"{'username': 'DitchMitch3', 'id': 1158229733693382658, 'displayname': 'i like my own tweets', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2019, 8, 5, 4, 14, 22, tzinfo=datetime.timezone.utc), 'followersCount': 629, 'friendsCount': 1622, 'statusesCount': 551, 'favouritesCount': 163, 'listedCount': 1, 'mediaCount': 22, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1158230134811500548/4ZvaA2gI_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-08-07 23:36:27+00:00,"@BabyAlpaca4 @Ianthejefferson @nonbinarybooty Overtourism is bad especially with Covid, but it is not the majority opinion of native Hawaiians for tourism to stop. That’s an extremist position held by few and amplified on Twitter.",
2,"{'username': 'Tracyp51', 'id': 24972880, 'displayname': 'Teepers', 'description': 'Writer. 🇳🇿🇺🇦🕉🌏🦋🐝🇳🇿', 'rawDescription': 'Writer. 🇳🇿🇺🇦🕉🌏🦋🐝🇳🇿', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 3, 17, 22, 46, 32, tzinfo=datetime.timezone.utc), 'followersCount': 54, 'friendsCount': 92, 'statusesCount': 2545, 'favouritesCount': 7639, 'listedCount': 3, 'mediaCount': 39, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/896225429857591297/f6002mAF_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/24972880/1574855259', 'label': None}",2022-08-07 23:30:08+00:00,@Areyous24436596 @kaffiene_nz How many of those currently unemployed were casualties of Covid though - people formerly employed in the tourism industry and restaurants and cafes which have still not fully recovered.,
3,"{'username': 'drkerth', 'id': 853080515443912704, 'displayname': 'dark earth', 'description': '...yu.shldnt.b.hre... drkerth.bandcamp.com', 'rawDescription': '...yu.shldnt.b.hre... https://t.co/HwdzQZ05KM', 'descriptionUrls': [{'text': 'drkerth.bandcamp.com', 'url': 'http://drkerth.bandcamp.com', 'tcourl': 'https://t.co/HwdzQZ05KM', 'indices': (22, 45)}], 'verified': False, 'created': datetime.datetime(2017, 4, 15, 3, 0, 19, tzinfo=datetime.timezone.utc), 'followersCount': 39, 'friendsCount': 1, 'statusesCount': 908, 'favouritesCount': 1067, 'listedCount': 0, 'mediaCount': 44, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1524183267439779841/437Zj4IO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/853080515443912704/1651097249', 'label': None}",2022-08-07 21:49:53+00:00,@SixEyeRaccoon @heyjaeeeeee @sammysawshank @bettyycrockerr I said everyone is affected by covid. I also said Hawaii is a regular vacation destination. Hawaii makes a third of their income with tourism. Never said it was right or wrong. I don't know what you're talking about now.,
4,"{'username': 'Suejersey1', 'id': 1541193674851336193, 'displayname': 'Suejersey', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 6, 26, 23, 1, 6, tzinfo=datetime.timezone.utc), 'followersCount': 4, 'friendsCount': 90, 'statusesCount': 698, 'favouritesCount': 1435, 'listedCount': 0, 'mediaCount': 12, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None}",2022-08-07 21:31:51+00:00,You were too lazy to look. #2 is Louisiana -yes NO is a Democratic city but the rest of the state is Republican. Fall in tourism played a big part. #3 is Hawaii -again fall in tourism due to Covid in 2020 was the main cause. You seem simplistic and simple minded. @josecarreras1 https://t.co/6dU0aJY0PT,
5,"{'username': 'vemcg', 'id': 251294558, 'displayname': 'Centrist Rants 🇺🇸 🇺🇦 🇵🇱', 'description': 'Politically centrist. Lean right on defense/fiscal. Lean left on social issues. Been accused of being a closet Libertarian. Single issue voter now - Democracy.', 'rawDescription': 'Politically centrist. Lean right on defense/fiscal. Lean left on social issues. Been accused of being a closet Libertarian. Single issue voter now - Democracy.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 2, 12, 21, 4, 33, tzinfo=datetime.timezone.utc), 'followersCount': 595, 'friendsCount': 1659, 'statusesCount': 11813, 'favouritesCount': 5252, 'listedCount': 1, 'mediaCount': 131, 'location': 'San Jose, CA', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1248239091923087360/e7xk_XOa_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-08-07 21:24:34+00:00,"@wrightdjohn @Mr_JamesLandis The same competent governor who told the tourism and cruise industry that they couldn't run their business in a way to mitigate covid and who decided picking a fight with Disney over culture wars was a good idea.

I don't get to vote for or against him and I'm hoping I never do.","San Jose, CA"
6,"{'username': 'EricMcPh', 'id': 1200126141840986112, 'displayname': 'Eric McPherson', 'description': 'Challenging group think, “settled” science, and political dogma. Founder of MaskScience.org. Father. Pro-children. Not selling anything. JD-MBA. Ho/Hum.🇺🇸', 'rawDescription': 'Challenging group think, “settled” science, and political dogma. Founder of https://t.co/oJxRmMbYxc. Father. Pro-children. Not selling anything. JD-MBA. Ho/Hum.🇺🇸', 'descriptionUrls': [{'text': 'MaskScience.org', 'url': 'http://MaskScience.org', 'tcourl': 'https://t.co/oJxRmMbYxc', 'indices': (76, 99)}], 'verified': False, 'created': datetime.datetime(2019, 11, 28, 18, 56, 2, tzinfo=datetime.timezone.utc), 'followersCount': 796, 'friendsCount': 604, 'statusesCount': 4714, 'favouritesCount': 14224, 'listedCount': 10, 'mediaCount': 274, 'location': 'Dallas, TX', 'protected': False, 'linkUrl': 'http://MaskScience.org', 'linkTcourl': 'https://t.co/oJxRmMbYxc', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1518026311670845441/Z95NN40L_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1200126141840986112/1650760040', 'label': None}",2022-08-07 20:53:41+00:00,"@enlightenedske1 @lisa_iannattone Macau is a city built on casinos,  entertainment, and tourism. The authoritarian government that oversees it has decreed a zero-covid policy and has a lot riding on that policy’s success. If you believe mask mandates resulted in zero cases, I have a bridge I want to sell you.","Dallas, TX"
7,"{'username': 'bubupearr', 'id': 274987077, 'displayname': 'ที่สุดของแจ้\U0001f9cb เรียกป้าก็ได้', 'description': 'ช่วงนี้แม่ไม่สู้คน 🐻 ลูกถามทุกวันทำไมแม่ชอบแจฮยอน \U0001faf0🏻 เอฟ จูเนียร์ ATLAS ได้ที่ไหนคะลูก', 'rawDescription': 'ช่วงนี้แม่ไม่สู้คน 🐻 ลูกถามทุกวันทำไมแม่ชอบแจฮยอน \U0001faf0🏻 เอฟ จูเนียร์ ATLAS ได้ที่ไหนคะลูก', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 3, 31, 12, 16, tzinfo=datetime.timezone.utc), 'followersCount': 5232, 'friendsCount': 346, 'statusesCount': 84125, 'favouritesCount': 54795, 'listedCount': 0, 'mediaCount': 7866, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1509783770605441044/VaariGoo_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/274987077/1656104439', 'label': None}",2022-08-07 20:34:08+00:00,"Can Thailand Still Rely On Tourism To Repair Post-COVID Economy? | Insig... https://t.co/dXUqOOwcAr 
สิงคโปร์เลี่ยน คิดอะไรอยู่ฉันรู้เลยนะคะจากสารคดีนี้ 😒😒😒",
8,"{'username': 'DrDingusMengis', 'id': 1530116530926563328, 'displayname': 'Dr.Dingus', 'description': ""I'm a transexual cyborg hybrid mix of  homosapien, Borg, Pleiadian, and pterodactyl. My pronoun is transomorgleiadactyl. Thanks!"", 'rawDescription': ""I'm a transexual cyborg hybrid mix of  homosapien, Borg, Pleiadian, and pterodactyl. My pronoun is transomorgleiadactyl. Thanks!"", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 5, 27, 9, 19, 56, tzinfo=datetime.timezone.utc), 'followersCount': 1, 'friendsCount': 13, 'statusesCount': 119, 'favouritesCount': 40, 'listedCount': 0, 'mediaCount': 8, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1545771536904097794/hv-n-G3F_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1530116530926563328/1657375828', 'label': None}",2022-08-07 20:28:03+00:00,"@LynAldenContact You have to stay in an organized tour slightly similar to North Korea style. Government opinion is/was that COVID is higher risk than other countries have recognized and they don't want to lose the 2 years of sacrifice to tourism, yet.",
9,"{'username': 'edmundbartlett6', 'id': 1230005248485416961, 'displayname': 'edmund bartlett', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 2, 19, 5, 45, 5, tzinfo=datetime.timezone.utc), 'followersCount': 1360, 'friendsCount': 258, 'statusesCount': 462, 'favouritesCount': 10, 'listedCount': 3, 'mediaCount': 111, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1230005643794436098/8yk7e04i_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-08-07 20:01:33+00:00,Jamaica’s Tourism Sector Nearing Full Recovery from COVID-19 https://t.co/LncJzN2Q6G,
