,user,date,content,user_location
0,"{'username': 'dephublemmas', 'id': 1527167333407395841, 'displayname': 'Dephublemmas Kemensetneg', 'description': 'Akun Resmi Deputi Bidang Hubungan Kelembagaan dan Kemasyarakatan, Kementerian Sekretariat Negara', 'rawDescription': 'Akun Resmi Deputi Bidang Hubungan Kelembagaan dan Kemasyarakatan, Kementerian Sekretariat Negara', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 5, 19, 6, 1, 33, tzinfo=datetime.timezone.utc), 'followersCount': 16, 'friendsCount': 60, 'statusesCount': 710, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 586, 'location': 'Jakarta', 'protected': False, 'linkUrl': 'http://setneg.go.id', 'linkTcourl': 'https://t.co/OHKOKvxh76', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1527296926215176192/Zlyp1Wt0_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1527167333407395841/1652962401', 'label': None}",2022-08-07 06:58:39+00:00,Panel konferensi 2 dengan tema “Health and Wellness Tourism: Industry Trends and Information Dissemination”. https://t.co/nGb7RKz01v,Jakarta
1,"{'username': 'NCStateCNR', 'id': 104910709, 'displayname': 'NC State College of Natural Resources', 'description': 'College of Natural Resources at @NCState. Educating leaders to create solutions for a sustainable world at the intersection of the built & natural environment.', 'rawDescription': 'College of Natural Resources at @NCState. Educating leaders to create solutions for a sustainable world at the intersection of the built & natural environment.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 1, 14, 19, 44, 33, tzinfo=datetime.timezone.utc), 'followersCount': 3731, 'friendsCount': 443, 'statusesCount': 10210, 'favouritesCount': 10946, 'listedCount': 75, 'mediaCount': 3361, 'location': 'Raleigh, NC', 'protected': False, 'linkUrl': 'http://cnr.ncsu.edu', 'linkTcourl': 'https://t.co/BLJ3qRuPC3', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1589660014788186113/QqGqiagO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/104910709/1667839457', 'label': None}",2022-08-06 14:02:19+00:00,Our own Duarte Morais in @NCExtension is helping drive an initiative that expands on the popular farm-to-table trend. 🍽️ Learn how he has been helping NC's tourism industry through a farm-to-stovetop program called Vacationer Supported Agriculture: https://t.co/AeEbMXDkKi https://t.co/NQcg1EwqaO,"Raleigh, NC"
2,"{'username': 'OnlineFree2002', 'id': 1462702274636140545, 'displayname': 'Online Freelancers', 'description': ""If you haven't come with a solution, you're part of the problem"", 'rawDescription': ""If you haven't come with a solution, you're part of the problem"", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 11, 22, 8, 39, 56, tzinfo=datetime.timezone.utc), 'followersCount': 414, 'friendsCount': 3673, 'statusesCount': 1963, 'favouritesCount': 1, 'listedCount': 2, 'mediaCount': 75, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1462702760256757762/8g4ECYiW_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1462702274636140545/1638096208', 'label': None}",2022-08-05 15:38:27+00:00,"Question:

 Discuss current trends in the global tourism industry. 

Answer:

 Tourism is now the fastest growing sector and a main source of employment and foreign exchange earnings for many countries.

https://t.co/YDmets88VA",
3,"{'username': 'Checkfront', 'id': 21592178, 'displayname': 'Checkfront', 'description': 'Smart, simplified online booking system perfect for tour and activity providers! Flexible pricing, outstanding support. Start your free 21-day trial today.', 'rawDescription': 'Smart, simplified online booking system perfect for tour and activity providers! Flexible pricing, outstanding support. Start your free 21-day trial today.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 2, 22, 19, 53, 35, tzinfo=datetime.timezone.utc), 'followersCount': 1394, 'friendsCount': 1153, 'statusesCount': 2322, 'favouritesCount': 1119, 'listedCount': 95, 'mediaCount': 411, 'location': 'Victoria, British Columbia', 'protected': False, 'linkUrl': 'https://www.checkfront.com', 'linkTcourl': 'https://t.co/KQgew78mA7', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/662390240884080641/Pq4HOyGo_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/21592178/1526670045', 'label': None}",2022-08-03 22:30:00+00:00,"Some may say that technology has helped rescue the tourism industry during the pandemic. These 10 technology trends emerging in the tourism industry can streamline your workflow so you can focus on growing your business: https://t.co/o0jr73RCq3
#traveltechnology #technologytrends https://t.co/VJ9XPGsj0n","Victoria, British Columbia"
4,"{'username': 'TechInform77', 'id': 1500496396822417408, 'displayname': 'Technology Inform', 'description': 'Tech informations with all details', 'rawDescription': 'Tech informations with all details', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2022, 3, 6, 15, 40, 9, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 12, 'statusesCount': 361, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 61, 'location': 'USA', 'protected': False, 'linkUrl': 'https://technologyinform.com/', 'linkTcourl': 'https://t.co/Apbt4rzX0E', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1501111161278058497/GjGchN-w_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1500496396822417408/1646727767', 'label': None}",2022-08-01 15:34:06+00:00,Can you 3D Printed Dentures Can you 3D Printed Dentures Can you 3D Printed Dentures 3D printed dental are a growing trend in the dental tourism industry. Can you 3D Printed Dentures A recent survey found that 58% of American dentists believe... https://t.co/yyzmShVeRt,USA
5,"{'username': 'McTelegraph', 'id': 779091898988277760, 'displayname': 'martincitytelegraph', 'description': 'Covering the news in South Kansas City', 'rawDescription': 'Covering the news in South Kansas City', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 9, 22, 22, 55, 58, tzinfo=datetime.timezone.utc), 'followersCount': 396, 'friendsCount': 66, 'statusesCount': 2295, 'favouritesCount': 148, 'listedCount': 7, 'mediaCount': 1163, 'location': 'Kansas City, MO', 'protected': False, 'linkUrl': 'http://www.martincitytelegraph.com', 'linkTcourl': 'https://t.co/mtoy2s3TPL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/779101194316767232/zukAICvP_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/779091898988277760/1511017243', 'label': None}",2022-07-30 13:09:21+00:00,The wellness tourism industry has grown by over 500% in the last few years. See how a south Kansas City couple joins the trend. https://t.co/A8DTwCEzAC,"Kansas City, MO"
6,"{'username': 'sajal', 'id': 11840852, 'displayname': 'Sajal Kayan', 'description': 'BiggestFan of performance\nA668BBFE438CBEDA7BB63925396490ACBF15828F', 'rawDescription': 'BiggestFan of performance\nA668BBFE438CBEDA7BB63925396490ACBF15828F', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2008, 1, 4, 15, 12, 44, tzinfo=datetime.timezone.utc), 'followersCount': 1626, 'friendsCount': 886, 'statusesCount': 28065, 'favouritesCount': 5179, 'listedCount': 72, 'mediaCount': 267, 'location': 'Bangkok', 'protected': False, 'linkUrl': 'https://www.sajalkayan.com/', 'linkTcourl': 'https://t.co/n3l1QIG3ph', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/768291876/food_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-07-30 02:22:57+00:00,I see a disturbing trend in thai tourism industry. More and more breakfast buffets now serve instant coffee instead of fresh. Pretty sure was not like this couple of years back.,Bangkok
7,"{'username': 'STTAKenya', 'id': 1969457304, 'displayname': 'Sustainable Travel & Tourism consulting', 'description': 'Trusted Sustainable Travel & Tourism Solutions. Coaching. Training. Strategy. Technical Assistance. Research. Book-Sustainable Tourism Dialogues in Africa', 'rawDescription': 'Trusted Sustainable Travel & Tourism Solutions. Coaching. Training. Strategy. Technical Assistance. Research. Book-Sustainable Tourism Dialogues in Africa', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 10, 18, 20, 3, 7, tzinfo=datetime.timezone.utc), 'followersCount': 11847, 'friendsCount': 4651, 'statusesCount': 11215, 'favouritesCount': 23823, 'listedCount': 103, 'mediaCount': 3219, 'location': 'Nairobi Kenya', 'protected': False, 'linkUrl': 'http://www.sttakenya.org', 'linkTcourl': 'https://t.co/TpLA5mJKnH', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/847837285873790976/UHoJucTZ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1969457304/1655759360', 'label': None}",2022-07-28 14:07:26+00:00,"All indicators confirm that the #Tourism industry has consistently continued to grow in the recent past. 
Join #sttachangemakers on #SATURDAY 10.00 EAT as we hold a #twitterchat on Travel Trends and Impacts on Tourism Value Chain.
#sttaconsulting https://t.co/sMNFCSB7FQ",Nairobi Kenya
8,"{'username': 'ExpCols', 'id': 14332698, 'displayname': 'Experience Columbus', 'description': ""Showcasing the innovative and inspiring stories of Columbus' people, places and experiences. Share your memories with us using #LiveForwardCbus."", 'rawDescription': ""Showcasing the innovative and inspiring stories of Columbus' people, places and experiences. Share your memories with us using #LiveForwardCbus."", 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2008, 4, 8, 14, 35, 53, tzinfo=datetime.timezone.utc), 'followersCount': 103551, 'friendsCount': 5192, 'statusesCount': 37825, 'favouritesCount': 4465, 'listedCount': 995, 'mediaCount': 2763, 'location': 'Columbus, Ohio', 'protected': False, 'linkUrl': 'https://www.experiencecolumbus.com/', 'linkTcourl': 'https://t.co/kMPbUOFmN3', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1590082746537451522/cWAkJ0lz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/14332698/1667940152', 'label': None}",2022-07-28 12:54:58+00:00,"We’re at @cbusconventions today for Industry Day 2022!

This event welcomes nationally recognized industry speakers to discuss the latest tourism industry trends and data.

#LiveForwardCbus https://t.co/YY00NYvzmZ","Columbus, Ohio"
9,"{'username': 'GallardoJags', 'id': 2216792287, 'displayname': 'Jose Antonio Gallardo Sueiro', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 11, 26, 23, 43, 21, tzinfo=datetime.timezone.utc), 'followersCount': 105, 'friendsCount': 281, 'statusesCount': 13244, 'favouritesCount': 1116, 'listedCount': 2, 'mediaCount': 5127, 'location': 'Mataró, España', 'protected': False, 'linkUrl': 'http://www.linkedin.com/in/jags-gallardo', 'linkTcourl': 'https://t.co/eCM1EZZ7Yr', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/750752960192339968/up_WWUrA_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2216792287/1467828426', 'label': None}",2022-07-26 16:23:56+00:00,Noticias desde @isostandards: ✈️Travel &amp; Tourism is back in business. Tourists are looking for #Sustainability #Resilience and #Inclusivity as they begin to travel. Check out the top three trends in the #travel and #tourism industry and how standards can… https://t.co/VwGQDaMBTQ,"Mataró, España"
