,user,date,content,user_location
0,"{'username': 'Cambio22info', 'id': 1359601089130229765, 'displayname': 'Cambio 22', 'description': 'Información puntual del acontecer de la sociedad peninsular, con la verdad por delante y combatiendo la desinformación.\n#Cambio22 #PenínsulaLibre', 'rawDescription': 'Información puntual del acontecer de la sociedad peninsular, con la verdad por delante y combatiendo la desinformación.\n#Cambio22 #PenínsulaLibre', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 2, 10, 20, 32, 37, tzinfo=datetime.timezone.utc), 'followersCount': 429, 'friendsCount': 1045, 'statusesCount': 42592, 'favouritesCount': 228, 'listedCount': 8, 'mediaCount': 3942, 'location': 'Cancún, Quintana Roo, México', 'protected': False, 'linkUrl': 'http://diariocambio22.mx', 'linkTcourl': 'https://t.co/EGWTWHZetl', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1359990304259112969/FXmypny-_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1359601089130229765/1612994831', 'label': None}",2022-11-20 19:59:34+00:00,"#Chetumal | Hubo importantes cambios, como el regreso de los estudiantes de educación básica al derrotero, tras la pandemia del Covid-19.
https://t.co/lo2M7HovQF","Cancún, Quintana Roo, México"
1,"{'username': 'bobsalca', 'id': 414067380, 'displayname': 'Roberto', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 11, 16, 15, 53, 40, tzinfo=datetime.timezone.utc), 'followersCount': 490, 'friendsCount': 778, 'statusesCount': 34505, 'favouritesCount': 57174, 'listedCount': 1, 'mediaCount': 1339, 'location': 'Cancún', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1438981392969371649/KwZPBSm__normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/414067380/1441048088', 'label': None}",2022-11-20 15:28:34+00:00,#QuintanaRoo #Covid19 #UsaCubrebocas #SanaDistancia https://t.co/UUiZlUEGLi,Cancún
2,"{'username': 'novedadesqroo', 'id': 156411459, 'displayname': 'Novedades de Quintana Roo', 'description': 'Participa de manera activa en nuestro twitter, si tienes fotos, comentarios o denuncias háznoslo saber. \r\nSomos el periódico que nació y crece con el Estado.', 'rawDescription': 'Participa de manera activa en nuestro twitter, si tienes fotos, comentarios o denuncias háznoslo saber. \r\nSomos el periódico que nació y crece con el Estado.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 6, 16, 21, 54, 50, tzinfo=datetime.timezone.utc), 'followersCount': 128810, 'friendsCount': 1470, 'statusesCount': 409466, 'favouritesCount': 1282, 'listedCount': 1199, 'mediaCount': 202741, 'location': 'Cancún, Quintana Roo', 'protected': False, 'linkUrl': 'http://www.sipse.com/novedades/', 'linkTcourl': 'https://t.co/EwV5oLNDcV', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1588722274408054784/sb3Z6rWW_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/156411459/1667615883', 'label': None}",2022-11-20 00:01:00+00:00,"🦠 El Hospital General de Playa del Carmen informó que las hospitalizaciones graves por COVID-19 en los últimos meses.

https://t.co/D0rurIdYhJ","Cancún, Quintana Roo"
3,"{'username': 'kar_vadillo', 'id': 266339097, 'displayname': 'Karla Vadillo', 'description': 'Marketing Internacional. Cine y Lujo. Calarts top 5 Verano 2014.\nvinogourmetkv.wordpress.com', 'rawDescription': 'Marketing Internacional. Cine y Lujo. Calarts top 5 Verano 2014.\nhttps://t.co/tAAeJZenkO', 'descriptionUrls': [{'text': 'vinogourmetkv.wordpress.com', 'url': 'http://vinogourmetkv.wordpress.com', 'tcourl': 'https://t.co/tAAeJZenkO', 'indices': (65, 88)}], 'verified': False, 'created': datetime.datetime(2011, 3, 15, 2, 20, 35, tzinfo=datetime.timezone.utc), 'followersCount': 483, 'friendsCount': 500, 'statusesCount': 24808, 'favouritesCount': 565, 'listedCount': 24, 'mediaCount': 5251, 'location': 'Cancun', 'protected': False, 'linkUrl': 'http://cinegourmet.wordpress.com', 'linkTcourl': 'https://t.co/6sRulAlSQ4', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/747259133674430464/MxGPzJ8N_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/266339097/1513375882', 'label': None}",2022-11-19 22:15:34+00:00,"""Estas variantes de COVID-19 podrían ‘arruinar’ las fiestas navideñas – El Financiero"" https://t.co/CbGzYsJsgd @nytimes @Fritolay @littlecaesars @ShakeysUSA @WHO @WholeFoods @Costco @Walmart @DisneyStudios @CIJ_Adicciones @EWTNews @CatholicRelief @UNESCO @UNICEF @Lionsgate @ABC",Cancun
4,"{'username': 'novedadesqroo', 'id': 156411459, 'displayname': 'Novedades de Quintana Roo', 'description': 'Participa de manera activa en nuestro twitter, si tienes fotos, comentarios o denuncias háznoslo saber. \r\nSomos el periódico que nació y crece con el Estado.', 'rawDescription': 'Participa de manera activa en nuestro twitter, si tienes fotos, comentarios o denuncias háznoslo saber. \r\nSomos el periódico que nació y crece con el Estado.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 6, 16, 21, 54, 50, tzinfo=datetime.timezone.utc), 'followersCount': 128810, 'friendsCount': 1470, 'statusesCount': 409466, 'favouritesCount': 1282, 'listedCount': 1199, 'mediaCount': 202741, 'location': 'Cancún, Quintana Roo', 'protected': False, 'linkUrl': 'http://www.sipse.com/novedades/', 'linkTcourl': 'https://t.co/EwV5oLNDcV', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1588722274408054784/sb3Z6rWW_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/156411459/1667615883', 'label': None}",2022-11-19 20:55:06+00:00,Hospital General reporta cero casos de Covid-19 https://t.co/6Fc1EISBBF https://t.co/iQIDdmR1SE,"Cancún, Quintana Roo"
5,"{'username': 'bobsalca', 'id': 414067380, 'displayname': 'Roberto', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 11, 16, 15, 53, 40, tzinfo=datetime.timezone.utc), 'followersCount': 490, 'friendsCount': 778, 'statusesCount': 34505, 'favouritesCount': 57174, 'listedCount': 1, 'mediaCount': 1339, 'location': 'Cancún', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1438981392969371649/KwZPBSm__normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/414067380/1441048088', 'label': None}",2022-11-19 14:21:04+00:00,#QuintanaRoo #Covid19 #UsaCubrebocas #SanaDistancia https://t.co/O6HXRTQPew,Cancún
6,"{'username': 'MamasyBebes', 'id': 17397787, 'displayname': 'Tu Web de Maternidad®', 'description': 'Mamás y Bebés, Tu Web de Maternidad®: News de parto, embarazo y crianza. Informando a las #MamásTuiteras desde 2005.', 'rawDescription': 'Mamás y Bebés, Tu Web de Maternidad®: News de parto, embarazo y crianza. Informando a las #MamásTuiteras desde 2005.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2008, 11, 14, 22, 56, 50, tzinfo=datetime.timezone.utc), 'followersCount': 66733, 'friendsCount': 38, 'statusesCount': 55686, 'favouritesCount': 131, 'listedCount': 460, 'mediaCount': 346, 'location': 'Cancún, México', 'protected': False, 'linkUrl': 'http://tinyurl.com/MyBinstagram', 'linkTcourl': 'http://t.co/QwamsIINuW', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/786023288875028480/01DkHdVp_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/17397787/1514930413', 'label': None}",2022-11-19 05:15:26+00:00,Covid-19 y embarazo: Transferencia de anticuerpos al feto https://t.co/oAiikEgvyj,"Cancún, México"
7,"{'username': 'infoturquesa', 'id': 78941660, 'displayname': 'Turquesa News', 'description': 'Nuestro equipo de reporteros y corresponsales en #QuintanaRoo, te mantiene informado. Escucha Informativo Turquesa en @Radioturquesa. En vivo desde Cancún.', 'rawDescription': 'Nuestro equipo de reporteros y corresponsales en #QuintanaRoo, te mantiene informado. Escucha Informativo Turquesa en @Radioturquesa. En vivo desde Cancún.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 10, 1, 16, 18, 17, tzinfo=datetime.timezone.utc), 'followersCount': 13662, 'friendsCount': 453, 'statusesCount': 116415, 'favouritesCount': 668, 'listedCount': 103, 'mediaCount': 30705, 'location': 'Cancún', 'protected': False, 'linkUrl': 'http://www.turquesanews.mx', 'linkTcourl': 'https://t.co/ebZTt6KYkl', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1588989704594153473/s11dN09T_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/78941660/1611608352', 'label': None}",2022-11-19 03:15:00+00:00,"𝗘𝗻𝘁𝗿𝗲𝘁𝗲𝗻𝗶𝗺𝗶𝗲𝗻𝘁𝗼 | Adele por fin iniciará su residencia en Las Vegas este 18 de noviembre, luego de que el pasado mes de enero postergó sus presentaciones por Covid-19

https://t.co/6eLrcijugo",Cancún
8,"{'username': 'radioturquesa', 'id': 78386045, 'displayname': 'Radio Turquesa', 'description': 'Somos #RadioTurquesa, con 33 años de ser la estación líder en #Cancún y la Península de Yucatán, México. Sintoniza el 105.1 FM radioturquesa.fm #LaQueManda', 'rawDescription': 'Somos #RadioTurquesa, con 33 años de ser la estación líder en #Cancún y la Península de Yucatán, México. Sintoniza el 105.1 FM https://t.co/riWH0FGQ7d #LaQueManda', 'descriptionUrls': [{'text': 'radioturquesa.fm', 'url': 'http://radioturquesa.fm', 'tcourl': 'https://t.co/riWH0FGQ7d', 'indices': (127, 150)}], 'verified': True, 'created': datetime.datetime(2009, 9, 29, 18, 53, 4, tzinfo=datetime.timezone.utc), 'followersCount': 17225, 'friendsCount': 3993, 'statusesCount': 62827, 'favouritesCount': 1991, 'listedCount': 163, 'mediaCount': 12865, 'location': 'Cancun, Mexico', 'protected': False, 'linkUrl': 'https://radioturquesa.fm', 'linkTcourl': 'https://t.co/S284bHahHG', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1588989091701575680/_LSF696u_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/78386045/1668018087', 'label': None}",2022-11-19 03:15:00+00:00,"𝗘𝗻𝘁𝗿𝗲𝘁𝗲𝗻𝗶𝗺𝗶𝗲𝗻𝘁𝗼 | Adele por fin iniciará su residencia en Las Vegas este 18 de noviembre, luego de que el pasado mes de enero postergó sus presentaciones por Covid-19

https://t.co/gNN8vnATOq","Cancun, Mexico"
9,"{'username': 'TurquesaPOP', 'id': 944424679, 'displayname': 'Turquesa POP', 'description': 'Somos #TurquesaPOP transmitimos desde #Cancún la música actual, sintinizanos por el 102.7FM y turquesapop.fm \nsomos parte de @radioturquesa. #SoyPOP', 'rawDescription': 'Somos #TurquesaPOP transmitimos desde #Cancún la música actual, sintinizanos por el 102.7FM y https://t.co/DqpxBik2aF \nsomos parte de @radioturquesa. #SoyPOP', 'descriptionUrls': [{'text': 'turquesapop.fm', 'url': 'http://turquesapop.fm', 'tcourl': 'https://t.co/DqpxBik2aF', 'indices': (94, 117)}], 'verified': False, 'created': datetime.datetime(2012, 11, 12, 19, 25, 9, tzinfo=datetime.timezone.utc), 'followersCount': 1849, 'friendsCount': 311, 'statusesCount': 22613, 'favouritesCount': 941, 'listedCount': 13, 'mediaCount': 7495, 'location': 'Cancún', 'protected': False, 'linkUrl': 'http://www.turquesapop.fm', 'linkTcourl': 'https://t.co/4NrOlTyhpu', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1588989179400261633/3-HzpiNr_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/944424679/1668018360', 'label': None}",2022-11-19 03:15:00+00:00,"𝗘𝗻𝘁𝗿𝗲𝘁𝗲𝗻𝗶𝗺𝗶𝗲𝗻𝘁𝗼 | Adele por fin iniciará su residencia en Las Vegas este 18 de noviembre, luego de que el pasado mes de enero postergó sus presentaciones por Covid-19

https://t.co/kprhW2gYe9",Cancún
