,user,date,content,user_location
0,"{'username': 'Tucanal10', 'id': 377496718, 'displayname': 'Canal 10', 'description': 'Televisora 100% Mexicana, nos encontramos en Quintana Roo, Yucatán y Campeche.', 'rawDescription': 'Televisora 100% Mexicana, nos encontramos en Quintana Roo, Yucatán y Campeche.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 9, 21, 17, 31, 24, tzinfo=datetime.timezone.utc), 'followersCount': 4091, 'friendsCount': 1594, 'statusesCount': 71571, 'favouritesCount': 875, 'listedCount': 60, 'mediaCount': 37942, 'location': 'Cancún Quintana Roo', 'protected': False, 'linkUrl': 'http://www.canal10.tv', 'linkTcourl': 'https://t.co/JossLVBoqL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1590045350307532808/ORgs_qij_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/377496718/1667931329', 'label': None}",2021-12-11 20:00:47+00:00,"#Cancún | El Turismo Post Covid, es el nuevo tipo de turismo que se genera luego de la pandemia, orientado más a lo cultural, alternativo y ecológico https://t.co/TemgIHmxYa",Cancún Quintana Roo
1,"{'username': 'Notipeninsular', 'id': 1248325342508523521, 'displayname': 'Noticaribe Peninsular', 'description': 'Información, análisis e investigación de Quintana Roo y la Península de Maya.', 'rawDescription': 'Información, análisis e investigación de Quintana Roo y la Península de Maya.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 4, 9, 19, 2, 33, tzinfo=datetime.timezone.utc), 'followersCount': 2877, 'friendsCount': 656, 'statusesCount': 31178, 'favouritesCount': 14, 'listedCount': 26, 'mediaCount': 1111, 'location': 'Cancun, Quintana Roo, México', 'protected': False, 'linkUrl': 'http://www.noticaribepeninsular.com.mx', 'linkTcourl': 'https://t.co/UFIs3NCGhI', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1322529917083541504/6xUwgWyw_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1248325342508523521/1666826405', 'label': None}",2021-12-10 22:00:57+00:00,"#Cancún #Turismo
CANCÚN: Se ha hecho inmune a los actos delictivos y al COVID, asegura José Antonio Chapur https://t.co/7iRonxPgTg","Cancun, Quintana Roo, México"
2,"{'username': '24horasqroo', 'id': 1055130038092345344, 'displayname': '24 Horas Quintana Roo', 'description': 'Somos un medio líder de noticias tanto impreso como digital que se distribuye de forma gratuita de lunes a viernes en Quintana Roo.', 'rawDescription': 'Somos un medio líder de noticias tanto impreso como digital que se distribuye de forma gratuita de lunes a viernes en Quintana Roo.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2018, 10, 24, 16, 12, 59, tzinfo=datetime.timezone.utc), 'followersCount': 6229, 'friendsCount': 1187, 'statusesCount': 74536, 'favouritesCount': 2142, 'listedCount': 26, 'mediaCount': 19124, 'location': 'Cancún, Quintana Roo', 'protected': False, 'linkUrl': 'http://24horasqroo.mx/', 'linkTcourl': 'https://t.co/Yi5xJQfrGY', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1368792176080064512/D-ByndEm_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1055130038092345344/1626455163', 'label': None}",2021-11-08 19:37:28+00:00,"#Turismo⏰|Luego de las restricciones que hubo en los dos últimos años por la pandemia del Covid-19, este año se encuentra todo listo para la Expo Hotel Cancún 2021🛎️

#24HorasQRoo👇🏻|
https://t.co/iIL8NkRCvu","Cancún, Quintana Roo"
3,"{'username': '24horasqroo', 'id': 1055130038092345344, 'displayname': '24 Horas Quintana Roo', 'description': 'Somos un medio líder de noticias tanto impreso como digital que se distribuye de forma gratuita de lunes a viernes en Quintana Roo.', 'rawDescription': 'Somos un medio líder de noticias tanto impreso como digital que se distribuye de forma gratuita de lunes a viernes en Quintana Roo.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2018, 10, 24, 16, 12, 59, tzinfo=datetime.timezone.utc), 'followersCount': 6229, 'friendsCount': 1187, 'statusesCount': 74536, 'favouritesCount': 2142, 'listedCount': 26, 'mediaCount': 19124, 'location': 'Cancún, Quintana Roo', 'protected': False, 'linkUrl': 'http://24horasqroo.mx/', 'linkTcourl': 'https://t.co/Yi5xJQfrGY', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1368792176080064512/D-ByndEm_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1055130038092345344/1626455163', 'label': None}",2021-11-07 23:00:00+00:00,"#Turismo⏰|Luego de que la ocupación hotelera promedio de Cancún, Puerto Morelos e Isla Mujeres bajó hasta un 35.5 % en septiembre y octubre de 2020, por la pandemia del covid-19🏨🛎️

#24HorasQRoo👇🏻
https://t.co/W2fKzVrmsN","Cancún, Quintana Roo"
4,"{'username': 'RFQR', 'id': 43218906, 'displayname': '📻 Radio Fórmula QR 📻', 'description': '#Noticias de #Cancún, #QuintanaRoo y #México | Análisis de los mejores comentaristas #AbriendoLaConversación. #IG instagram.com/radioformulaqr/', 'rawDescription': '#Noticias de #Cancún, #QuintanaRoo y #México | Análisis de los mejores comentaristas #AbriendoLaConversación. #IG https://t.co/p1JVjq6jPD', 'descriptionUrls': [{'text': 'instagram.com/radioformulaqr/', 'url': 'http://instagram.com/radioformulaqr/', 'tcourl': 'https://t.co/p1JVjq6jPD', 'indices': (114, 137)}], 'verified': False, 'created': datetime.datetime(2009, 5, 28, 22, 59, 12, tzinfo=datetime.timezone.utc), 'followersCount': 42667, 'friendsCount': 16885, 'statusesCount': 118066, 'favouritesCount': 4136, 'listedCount': 241, 'mediaCount': 27380, 'location': 'Cancún, Quintana Roo', 'protected': False, 'linkUrl': 'https://radioformulaqr.com/', 'linkTcourl': 'https://t.co/KWKooOwZpJ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1525155831423062016/TV4w5D1H_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/43218906/1667230498', 'label': None}",2021-10-18 13:40:00+00:00,"#Turismo  🏖️ Tras un 2020 complicado por el covid-19, regresa este importante evento de #Cancún, con la participación conjunta de empresarios y autoridades de los tres niveles de gobierno.

#AbriendoLaConversación 

La nota: https://t.co/ysVPTXSkGL","Cancún, Quintana Roo"
5,"{'username': 'ElmundoBolsillo', 'id': 187526187, 'displayname': 'Elmundo Bolsillo', 'description': 'Revista impresa y online de turismo y viajes', 'rawDescription': 'Revista impresa y online de turismo y viajes', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 9, 6, 13, 46, 32, tzinfo=datetime.timezone.utc), 'followersCount': 5835, 'friendsCount': 4760, 'statusesCount': 6125, 'favouritesCount': 5626, 'listedCount': 137, 'mediaCount': 2670, 'location': '', 'protected': False, 'linkUrl': 'http://www.elmundoentubolsillo.es', 'linkTcourl': 'https://t.co/Jy10sbI9yL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/462193980151590912/RMOS_0nQ_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/187526187/1462228321', 'label': None}",2021-10-18 11:28:14+00:00,"LEVEL conectará #Barcelona y #PuntaCana durante esta temporada de #invierno. Además, la #aerolínea extiende la operativa a #Cancún y refuerza los #vuelos a #BuenosAires.. https://t.co/ODNNCdHm5A  @FlyWithLEVEL #volar #viajar #turismo #Caribe #vacaciones #playa #COVID #destino",
6,"{'username': '5taMagazine', 'id': 1372959921801674753, 'displayname': '5taAvMagazine', 'description': '5ta Avenida Magazine, #revista impresa y digital de corte social, político y empresarial con presencia en los estados de #Campeche #QuintanaRoo y #Tabasco', 'rawDescription': '5ta Avenida Magazine, #revista impresa y digital de corte social, político y empresarial con presencia en los estados de #Campeche #QuintanaRoo y #Tabasco', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 3, 19, 17, 15, 51, tzinfo=datetime.timezone.utc), 'followersCount': 204, 'friendsCount': 208, 'statusesCount': 344, 'favouritesCount': 339, 'listedCount': 0, 'mediaCount': 219, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1372960418487009284/Ts74jxR__normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1372959921801674753/1616174318', 'label': None}",2021-10-11 02:50:26+00:00,"Dentro del 20 aniversario de AMEXME, se llevó a cabo un desayuno en el hotel Emporio Cancún.
Después de que los asistentes degustaron un rico menú, escucharon con atención una conferencia magistral llamada “El rol del turismo en la recuperación económica post COVID Mexico-EU” https://t.co/5TFkKHQvVU",
7,"{'username': 'Alfonso20166', 'id': 734411086678609920, 'displayname': 'ALFONSO', 'description': 'Trabajador.El trabajo no es un fin sino un medio para lograr el bienestar y la felicidad humana.\nControlar es la tarea del SOBERANX.\nHago política por hobby.', 'rawDescription': 'Trabajador.El trabajo no es un fin sino un medio para lograr el bienestar y la felicidad humana.\nControlar es la tarea del SOBERANX.\nHago política por hobby.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2016, 5, 22, 15, 50, 22, tzinfo=datetime.timezone.utc), 'followersCount': 549, 'friendsCount': 511, 'statusesCount': 35670, 'favouritesCount': 6568, 'listedCount': 2, 'mediaCount': 10341, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1409848175645634560/q2_APvlh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/734411086678609920/1513123178', 'label': None}",2021-10-10 19:08:49+00:00,"@larroqueandres @Juanilastra22 Ojo con la éndemia Covid19.
Con mucho cuidado y respeto por el otro.
La pandemía covid 19 ingresó por el turismo en el principio de 2020, durante el año lo desparramamos por la Argentina y en las vacaciones 20/21 lo trajimos de Cancún.
""Proteger la producción"",  solamente, no va",
8,"{'username': 'MoniCacurri', 'id': 238661803, 'displayname': 'Monik☺Ok', 'description': 'Inquieta,', 'rawDescription': 'Inquieta,', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2011, 1, 15, 18, 30, 38, tzinfo=datetime.timezone.utc), 'followersCount': 37, 'friendsCount': 260, 'statusesCount': 4839, 'favouritesCount': 18120, 'listedCount': 0, 'mediaCount': 224, 'location': 'Argentina', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/478222989062713344/A919onWk_normal.jpeg', 'profileBannerUrl': None, 'label': None}",2021-10-09 21:59:34+00:00,@Haceinstantes Si dar 30000  x chicos durante 3 días fomentando el turismo que estaba en ruinas  @diegosantilli vos podes pagarle un viaje a Cancún a tu hijo en plena pandemia y se trajo Covid Mejor Callate😎,Argentina
9,"{'username': 'Gguchea', 'id': 142339487, 'displayname': 'GatoGuchea', 'description': 'Peronista e hincha de Ferro...para que más?', 'rawDescription': 'Peronista e hincha de Ferro...para que más?', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 5, 10, 16, 31, 6, tzinfo=datetime.timezone.utc), 'followersCount': 276, 'friendsCount': 782, 'statusesCount': 1647, 'favouritesCount': 5063, 'listedCount': 0, 'mediaCount': 165, 'location': 'Argentina', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1398604298158841858/OZ3cYOZ9_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/142339487/1617547728', 'label': None}",2021-10-09 19:03:47+00:00,"@larroqueandres Una muy buena medida para el sector turismo y q va a evitar que traigan Covid de su viaje de egresados comprando PCR truchos en Cancún.
Como el hijo del colorado Santilli!!",Argentina
