,user,date,content,user_location
0,"{'username': 'AlejandroRosel7', 'id': 1278648421, 'displayname': 'ALEJANDRO ROSEL', 'description': 'Conductor de SIPSENOTICIAS CANCUN. SIPSE TVCUN.  Apasionado de la televisión, amante del protocolo, los elefantes y Paketazo azul. AEROPUERTO DE CANCÚN. ASUR', 'rawDescription': 'Conductor de SIPSENOTICIAS CANCUN. SIPSE TVCUN.  Apasionado de la televisión, amante del protocolo, los elefantes y Paketazo azul. AEROPUERTO DE CANCÚN. ASUR', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 3, 18, 20, 8, 51, tzinfo=datetime.timezone.utc), 'followersCount': 3446, 'friendsCount': 1059, 'statusesCount': 40388, 'favouritesCount': 20274, 'listedCount': 25, 'mediaCount': 6282, 'location': '', 'protected': False, 'linkUrl': 'https://www.facebook.com/sipsenoticiascancun', 'linkTcourl': 'https://t.co/DAC6HVcWn6', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1511098939415711745/8uZC-K7H_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1278648421/1488742730', 'label': None}",2021-12-03 10:58:24+00:00,"BUENOS DÍAS MUNDOOO,  BUENOS DÍAS CANCÚN, esta mañana en @sipsenoticiastv Covid-19,  Semáforo Epidemiológico, salario mínimo, Ciudad de la Alegría Seguridad y la pregunta del día 7:00hrs por la señal de @SIPSETV NO FALTEEN!!! https://t.co/5SdsNgEbmL",
1,"{'username': 'AlejandroRosel7', 'id': 1278648421, 'displayname': 'ALEJANDRO ROSEL', 'description': 'Conductor de SIPSENOTICIAS CANCUN. SIPSE TVCUN.  Apasionado de la televisión, amante del protocolo, los elefantes y Paketazo azul. AEROPUERTO DE CANCÚN. ASUR', 'rawDescription': 'Conductor de SIPSENOTICIAS CANCUN. SIPSE TVCUN.  Apasionado de la televisión, amante del protocolo, los elefantes y Paketazo azul. AEROPUERTO DE CANCÚN. ASUR', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 3, 18, 20, 8, 51, tzinfo=datetime.timezone.utc), 'followersCount': 3446, 'friendsCount': 1059, 'statusesCount': 40388, 'favouritesCount': 20274, 'listedCount': 25, 'mediaCount': 6282, 'location': '', 'protected': False, 'linkUrl': 'https://www.facebook.com/sipsenoticiascancun', 'linkTcourl': 'https://t.co/DAC6HVcWn6', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1511098939415711745/8uZC-K7H_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1278648421/1488742730', 'label': None}",2021-12-02 11:03:27+00:00,"BUENOS DÍAS MUNDOOO, BUENOS DÍAS CANCÚN, esta mañana en @sipsenoticiastv #PrimeraEmisión hablaremos Batallón de Seguridad Turística, Covid-19,  vacunación a menores, discapacidad, Planetario Kayoc y la pregunta del día 7:00hrs por la señal de @SIPSETV NO FALTEEN!! https://t.co/OQBEPmdeXp",
2,"{'username': 'ale00078', 'id': 81923054, 'displayname': 'marco orellana', 'description': 'not your damn business', 'rawDescription': 'not your damn business', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2009, 10, 12, 20, 39, 21, tzinfo=datetime.timezone.utc), 'followersCount': 47, 'friendsCount': 129, 'statusesCount': 1053, 'favouritesCount': 510, 'listedCount': 0, 'mediaCount': 183, 'location': 'Cancún Centro, Benito Juárez', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/830288279866073088/lvZ0OJHg_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/81923054/1486791042', 'label': None}",2021-11-26 21:10:23+00:00,Aglomeraciones para llegar a seguridad Apto Cancun T2….  COVID what?  😂 https://t.co/XdRduzaSB9,"Cancún Centro, Benito Juárez"
3,"{'username': 'JorgeDe89456971', 'id': 1258177479954649090, 'displayname': 'Jorge De La Cruz', 'description': 'mi trabajo', 'rawDescription': 'mi trabajo', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 5, 6, 23, 33, 36, tzinfo=datetime.timezone.utc), 'followersCount': 5, 'friendsCount': 141, 'statusesCount': 45, 'favouritesCount': 36, 'listedCount': 0, 'mediaCount': 9, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1393024299028656131/rj59_jIp_normal.jpg', 'profileBannerUrl': None, 'label': None}",2021-11-22 18:19:36+00:00,@MaraLezama Que descuantaso gracias y para cuando brindaras seguridad en Cancún y dejar de cobrar cuota x sobrecupos en autobús combis x covid,
4,"{'username': 'Cambio22info', 'id': 1359601089130229765, 'displayname': 'Cambio 22', 'description': 'Información puntual del acontecer de la sociedad peninsular, con la verdad por delante y combatiendo la desinformación.\n#Cambio22 #PenínsulaLibre', 'rawDescription': 'Información puntual del acontecer de la sociedad peninsular, con la verdad por delante y combatiendo la desinformación.\n#Cambio22 #PenínsulaLibre', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 2, 10, 20, 32, 37, tzinfo=datetime.timezone.utc), 'followersCount': 429, 'friendsCount': 1045, 'statusesCount': 42594, 'favouritesCount': 228, 'listedCount': 8, 'mediaCount': 3944, 'location': 'Cancún, Quintana Roo, México', 'protected': False, 'linkUrl': 'http://diariocambio22.mx', 'linkTcourl': 'https://t.co/EGWTWHZetl', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1359990304259112969/FXmypny-_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1359601089130229765/1612994831', 'label': None}",2021-11-02 00:34:05+00:00,"#Cancún
El 80% de la planta laboral hotelera de Cancún cuenta con su esquema completo de vacunación contra el covid-19, lo que da mayor seguridad para avanzar en la recuperación económica y turística del Estado. https://t.co/ZNUk5Lq8FK","Cancún, Quintana Roo, México"
5,"{'username': 'LaJornadaMaya', 'id': 2749764192, 'displayname': 'La Jornada Maya', 'description': 'Impreso y digital con información, análisis Peninsular, Nacional, Internacional y en #maya | Encuéntranos en FB e IG: lajornadamaya | contacto@lajornadamaya.mx', 'rawDescription': 'Impreso y digital con información, análisis Peninsular, Nacional, Internacional y en #maya | Encuéntranos en FB e IG: lajornadamaya | contacto@lajornadamaya.mx', 'descriptionUrls': None, 'verified': True, 'created': datetime.datetime(2014, 8, 20, 17, 47, 21, tzinfo=datetime.timezone.utc), 'followersCount': 20630, 'friendsCount': 1617, 'statusesCount': 164270, 'favouritesCount': 2241, 'listedCount': 263, 'mediaCount': 17817, 'location': 'Camp, Yuc, QRoo', 'protected': False, 'linkUrl': 'http://www.lajornadamaya.mx', 'linkTcourl': 'https://t.co/SdbhEomVX0', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1586071372664639489/nBiAaDwl_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2749764192/1667497104', 'label': None}",2021-10-26 01:00:00+00:00,"Reportan tres nuevos casos de Covid-19 en sacerdotes de la Diócesis Cancún-Chetumal, por lo que en las celebraciones de los fieles difuntos reforzarán las medidas de seguridad para llevar a cabo las misas. 

#QuintanaRoo | #Sociedad 

https://t.co/KBQJvOiPGC","Camp, Yuc, QRoo"
6,"{'username': 'AlejandroRosel7', 'id': 1278648421, 'displayname': 'ALEJANDRO ROSEL', 'description': 'Conductor de SIPSENOTICIAS CANCUN. SIPSE TVCUN.  Apasionado de la televisión, amante del protocolo, los elefantes y Paketazo azul. AEROPUERTO DE CANCÚN. ASUR', 'rawDescription': 'Conductor de SIPSENOTICIAS CANCUN. SIPSE TVCUN.  Apasionado de la televisión, amante del protocolo, los elefantes y Paketazo azul. AEROPUERTO DE CANCÚN. ASUR', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 3, 18, 20, 8, 51, tzinfo=datetime.timezone.utc), 'followersCount': 3446, 'friendsCount': 1059, 'statusesCount': 40388, 'favouritesCount': 20274, 'listedCount': 25, 'mediaCount': 6282, 'location': '', 'protected': False, 'linkUrl': 'https://www.facebook.com/sipsenoticiascancun', 'linkTcourl': 'https://t.co/DAC6HVcWn6', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1511098939415711745/8uZC-K7H_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1278648421/1488742730', 'label': None}",2021-10-21 11:04:18+00:00,"BUENOS DÍAS MUNDOOO. BUENOS DÍAS CANCÚN, esta mañana en @sipsenoticiastv #PrimeraEmisión hablaremos de Covid 19, se vuelve a salir de control la vacunación para rezagados, WhatsApp, seguridad, corrupción y la pregunta del día 7:00hrs por la señal de @SIPSETV NO FALTEEN!!! https://t.co/FjMQOLMGrd",
7,"{'username': 'QuintanaRooHoy1', 'id': 499044422, 'displayname': 'Quintana Roo HOY', 'description': 'Periodismo de Vanguardia; Un Diario de @GrupoCanton; mantente siempre informado.', 'rawDescription': 'Periodismo de Vanguardia; Un Diario de @GrupoCanton; mantente siempre informado.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2012, 2, 21, 18, 21, 57, tzinfo=datetime.timezone.utc), 'followersCount': 16035, 'friendsCount': 2276, 'statusesCount': 158407, 'favouritesCount': 2444, 'listedCount': 208, 'mediaCount': 92771, 'location': 'Cancún, Quintana Roo', 'protected': False, 'linkUrl': 'http://quintanaroohoy.com/', 'linkTcourl': 'https://t.co/XUoXOyIUH5', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1591592031436083204/u6m9Aaff_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/499044422/1668300130', 'label': None}",2021-10-20 00:12:13+00:00,"#Seguridad 🚨 | Mala organización del Sistema Estatal de Salud ( @SESA_QROO ) provoca la furia de los ciudadanos en el Hospital General de #Cancún, por falta de vacunas anti #Covid_19 
https://t.co/Hi8r5tgFAS","Cancún, Quintana Roo"
8,"{'username': 'Cambio22info', 'id': 1359601089130229765, 'displayname': 'Cambio 22', 'description': 'Información puntual del acontecer de la sociedad peninsular, con la verdad por delante y combatiendo la desinformación.\n#Cambio22 #PenínsulaLibre', 'rawDescription': 'Información puntual del acontecer de la sociedad peninsular, con la verdad por delante y combatiendo la desinformación.\n#Cambio22 #PenínsulaLibre', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 2, 10, 20, 32, 37, tzinfo=datetime.timezone.utc), 'followersCount': 429, 'friendsCount': 1045, 'statusesCount': 42594, 'favouritesCount': 228, 'listedCount': 8, 'mediaCount': 3944, 'location': 'Cancún, Quintana Roo, México', 'protected': False, 'linkUrl': 'http://diariocambio22.mx', 'linkTcourl': 'https://t.co/EGWTWHZetl', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1359990304259112969/FXmypny-_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1359601089130229765/1612994831', 'label': None}",2021-10-14 19:15:27+00:00,"#Cancún | El gobernador Carlos Joaquín se reunió con la cónsul general de los Estados Unidos Dorothy Ngutter
Hablaron sobre la seguridad de los visitantes, la preservación del medio ambiente, la recuperación de la economía y la covid-19. https://t.co/cx0HBtow6O","Cancún, Quintana Roo, México"
9,"{'username': 'AlejandroRosel7', 'id': 1278648421, 'displayname': 'ALEJANDRO ROSEL', 'description': 'Conductor de SIPSENOTICIAS CANCUN. SIPSE TVCUN.  Apasionado de la televisión, amante del protocolo, los elefantes y Paketazo azul. AEROPUERTO DE CANCÚN. ASUR', 'rawDescription': 'Conductor de SIPSENOTICIAS CANCUN. SIPSE TVCUN.  Apasionado de la televisión, amante del protocolo, los elefantes y Paketazo azul. AEROPUERTO DE CANCÚN. ASUR', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2013, 3, 18, 20, 8, 51, tzinfo=datetime.timezone.utc), 'followersCount': 3446, 'friendsCount': 1059, 'statusesCount': 40388, 'favouritesCount': 20274, 'listedCount': 25, 'mediaCount': 6282, 'location': '', 'protected': False, 'linkUrl': 'https://www.facebook.com/sipsenoticiascancun', 'linkTcourl': 'https://t.co/DAC6HVcWn6', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1511098939415711745/8uZC-K7H_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1278648421/1488742730', 'label': None}",2021-09-22 11:12:21+00:00,"BUENOS DÍAS MUNDOOO, BUENOS DÍAS CANCÚN,  esta mañana en @SIPSENOTICIAS #PrimeraEmisión hablaremos de Covid 19, salud hombres, becas universitarias, taxistas, seguridad laboral y la pregunta del día 7:00hrs por la señal de @SIPSETV NO FALTEEN!! https://t.co/wwxdgfqyiD",
